      Date  | Plant Type 1 (ml) | Plant Type 2 (ml) | Plant Type 3 (ml)
------------------------------------------------------------------------
2024-01-01 | 152               | 198               | 183
2024-01-08 | 121               | 207               | 162
2024-01-15 | 129               | 180               | 194
2024-01-22 | 177               | 194               | 195
2024-01-29 | 152               | 215               | 190
2024-02-05 | 151               | 192               | 163
2024-02-12 | 130               | 200               | 178
2024-02-19 | 172               | 191               | 195
2024-02-26 | 143               | 184               | 180
2024-03-04 | 155               | 186               | 177
2024-03-11 | 131               | 184               | 187
2024-03-18 | 170               | 183               | 174
2024-03-25 | 175               | 192               | 161
2024-04-01 | 148               | 216               | 196
2024-04-08 | 154               | 194               | 170
2024-04-15 | 120               | 195               | 182
2024-04-22 | 120               | 200               | 171
2024-04-29 | 156               | 215               | 162
2024-05-06 | 173               | 203               | 176
2024-05-13 | 125               | 195               | 192
2024-05-20 | 158               | 193               | 160
2024-05-27 | 160               | 201               | 198
2024-06-03 | 172               | 185               | 179
2024-06-10 | 137               | 215               | 173
2024-06-17 | 135               | 180               | 190
2024-06-24 | 124               | 211               | 184
2024-07-01 | 161               | 185               | 162
2024-07-08 | 162               | 210               | 163
2024-07-15 | 178               | 180               | 190
2024-07-22 | 151               | 216               | 194
2024-07-29 | 176               | 214               | 173
2024-08-05 | 121               | 209               | 168
2024-08-12 | 121               | 183               | 179
2024-08-19 | 159               | 214               | 191
2024-08-26 | 161               | 193               | 168
2024-09-02 | 177               | 219               | 186
2024-09-09 | 155               | 201               | 162
2024-09-16 | 158               | 189               | 163
2024-09-23 | 175               | 180               | 174
2024-09-30 | 131               | 190               | 192
